frame,row_id,type,landmark_index,x,y,z
18,18-face-0,face,0,0.47558993101119995,0.5315581560134888,-0.03415166214108467
18,18-face-1,face,1,0.4664073586463928,0.5095173716545105,-0.05505345016717911
18,18-face-2,face,2,0.47055137157440186,0.5178247690200806,-0.03086784854531288
18,18-face-3,face,3,0.4565863013267517,0.4848501682281494,-0.036239393055438995
18,18-face-4,face,4,0.4651522934436798,0.5015681385993958,-0.057607460767030716
18,18-face-5,face,5,0.46502411365509033,0.49136877059936523,-0.05211963132023811
18,18-face-6,face,6,0.46606096625328064,0.4670041501522064,-0.02038765698671341
18,18-face-7,face,7,0.40202656388282776,0.4729164242744446,0.03129426762461662
18,18-face-8,face,8,0.46475446224212646,0.44686374068260193,-0.010517620481550694
18,18-face-9,face,9,0.46341654658317566,0.43638935685157776,-0.01058085635304451
18,18-face-10,face,10,0.4613390266895294,0.403873085975647,0.00646017212420702
18,18-face-11,face,11,0.4758346378803253,0.5356347560882568,-0.03311280533671379
18,18-face-12,face,12,0.4762726426124573,0.5403642058372498,-0.02989324741065502
18,18-face-13,face,13,0.47677475214004517,0.5437596440315247,-0.02473999559879303
18,18-face-14,face,14,0.4775470793247223,0.5478176474571228,-0.02515791915357113
18,18-face-15,face,15,0.47770845890045166,0.5522608160972595,-0.026462232694029808
18,18-face-16,face,16,0.4779682159423828,0.5576924085617065,-0.029310232028365135
18,18-face-17,face,17,0.4783608019351959,0.5633603930473328,-0.028614342212677002
18,18-face-18,face,18,0.4793621301651001,0.5696073770523071,-0.02045767940580845
18,18-face-19,face,19,0.46799910068511963,0.5137683749198914,-0.0502718947827816
18,18-face-20,face,20,0.45877310633659363,0.5146941542625427,-0.03522632643580437
18,18-face-21,face,21,0.3682830035686493,0.44884538650512695,0.09200950711965561
18,18-face-22,face,22,0.4281173348426819,0.47569334506988525,0.015523109585046768
18,18-face-23,face,23,0.4192739725112915,0.477175772190094,0.017849046736955643
18,18-face-24,face,24,0.41047555208206177,0.47799283266067505,0.02227521315217018
18,18-face-25,face,25,0.39821159839630127,0.4761916399002075,0.03304271027445793
18,18-face-26,face,26,0.4354485273361206,0.4733813405036926,0.015527348034083843
18,18-face-27,face,27,0.4114145040512085,0.45711541175842285,0.015850406140089035
18,18-face-28,face,28,0.4215678572654724,0.45683008432388306,0.014197749085724354
18,18-face-29,face,29,0.40223634243011475,0.4594343900680542,0.02058173529803753
18,18-face-30,face,30,0.3965703547000885,0.4631875157356262,0.02549954131245613
